Starting solana-test-validator
Ledger path: /var/lib/solana/ledger
Reset ledger: true
RPC bind address: 0.0.0.0
RPC port: 8899
Geyser enabled: true

Notice! No wallet available. `solana airdrop` localnet SOL after creating one

Ledger location: /var/lib/solana/ledger
Log: /var/lib/solana/ledger/validator.log
Initializing...
Waiting for fees to stabilize 1...
Connecting...
Identity: BY4V6ZUvPwB7m6jFrpn1NuXybvHB3MxTveYZsm1RYsPg
Genesis Hash: muSkct4wuMA2tbhYDrmbSwF5YWb2BwvV9omxvyxR3VE
Version: 1.18.25
Shred Version: 3670
Gossip Address: 127.0.0.1:1024
TPU Address: 127.0.0.1:1027
JSON RPC URL: http://127.0.0.1:8899
WebSocket PubSub URL: ws://127.0.0.1:8900
00:00:20 | Processed Slot: 43 | Confirmed Slot: 43 | Finalized Slot: 11 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 42 | ◎499.999790000
00:00:20 | Processed Slot: 44 | Confirmed Slot: 44 | Finalized Slot: 12 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 43 | ◎499.999785000
00:00:20 | Processed Slot: 44 | Confirmed Slot: 44 | Finalized Slot: 12 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 43 | ◎499.999785000
00:00:21 | Processed Slot: 45 | Confirmed Slot: 45 | Finalized Slot: 13 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 44 | ◎499.999780000
00:00:21 | Processed Slot: 46 | Confirmed Slot: 46 | Finalized Slot: 14 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 45 | ◎499.999775000
00:00:21 | Processed Slot: 46 | Confirmed Slot: 46 | Finalized Slot: 14 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 45 | ◎499.999775000
00:00:21 | Processed Slot: 47 | Confirmed Slot: 47 | Finalized Slot: 15 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 46 | ◎499.999770000
00:00:22 | Processed Slot: 48 | Confirmed Slot: 48 | Finalized Slot: 16 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 47 | ◎499.999765000
00:00:22 | Processed Slot: 48 | Confirmed Slot: 48 | Finalized Slot: 16 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 47 | ◎499.999765000
00:00:22 | Processed Slot: 49 | Confirmed Slot: 49 | Finalized Slot: 17 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 48 | ◎499.999760000
00:00:22 | Processed Slot: 49 | Confirmed Slot: 49 | Finalized Slot: 17 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 48 | ◎499.999760000
00:00:23 | Processed Slot: 50 | Confirmed Slot: 50 | Finalized Slot: 18 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 49 | ◎499.999755000
00:00:23 | Processed Slot: 51 | Confirmed Slot: 51 | Finalized Slot: 19 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 50 | ◎499.999750000
00:00:23 | Processed Slot: 51 | Confirmed Slot: 51 | Finalized Slot: 19 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 50 | ◎499.999750000
00:00:23 | Processed Slot: 52 | Confirmed Slot: 52 | Finalized Slot: 20 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 51 | ◎499.999745000
00:00:24 | Processed Slot: 53 | Confirmed Slot: 52 | Finalized Slot: 21 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 52 | ◎499.999745000
00:00:24 | Processed Slot: 53 | Confirmed Slot: 53 | Finalized Slot: 21 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 52 | ◎499.999740000
00:00:24 | Processed Slot: 54 | Confirmed Slot: 54 | Finalized Slot: 22 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 53 | ◎499.999735000
00:00:24 | Processed Slot: 54 | Confirmed Slot: 54 | Finalized Slot: 22 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 53 | ◎499.999735000
00:00:25 | Processed Slot: 55 | Confirmed Slot: 55 | Finalized Slot: 23 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 54 | ◎499.999730000
00:00:25 | Processed Slot: 56 | Confirmed Slot: 56 | Finalized Slot: 24 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 55 | ◎499.999725000
00:00:25 | Processed Slot: 56 | Confirmed Slot: 56 | Finalized Slot: 24 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 55 | ◎499.999725000
00:00:25 | Processed Slot: 57 | Confirmed Slot: 57 | Finalized Slot: 25 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 56 | ◎499.999720000
00:00:26 | Processed Slot: 57 | Confirmed Slot: 57 | Finalized Slot: 25 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 57 | ◎499.999720000
00:00:26 | Processed Slot: 58 | Confirmed Slot: 58 | Finalized Slot: 26 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 57 | ◎499.999715000
00:00:26 | Processed Slot: 59 | Confirmed Slot: 59 | Finalized Slot: 27 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 58 | ◎499.999710000
00:00:26 | Processed Slot: 59 | Confirmed Slot: 59 | Finalized Slot: 27 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 58 | ◎499.999710000
00:00:27 | Processed Slot: 60 | Confirmed Slot: 60 | Finalized Slot: 28 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 59 | ◎499.999705000
00:00:27 | Processed Slot: 61 | Confirmed Slot: 61 | Finalized Slot: 29 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 60 | ◎499.999700000
00:00:27 | Processed Slot: 61 | Confirmed Slot: 61 | Finalized Slot: 29 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 60 | ◎499.999700000
00:00:27 | Processed Slot: 62 | Confirmed Slot: 62 | Finalized Slot: 30 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 61 | ◎499.999695000
00:00:28 | Processed Slot: 62 | Confirmed Slot: 62 | Finalized Slot: 30 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 61 | ◎499.999695000
00:00:28 | Processed Slot: 63 | Confirmed Slot: 63 | Finalized Slot: 31 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 62 | ◎499.999690000
00:00:28 | Processed Slot: 64 | Confirmed Slot: 64 | Finalized Slot: 32 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 63 | ◎499.999685000
00:00:29 | Processed Slot: 64 | Confirmed Slot: 64 | Finalized Slot: 32 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 63 | ◎499.999685000
00:00:29 | Processed Slot: 65 | Confirmed Slot: 65 | Finalized Slot: 33 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 64 | ◎499.999680000
